25-05-30 22:23:41.863 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final 
25-05-30 22:23:42.003 [main] INFO  n.p.JournalApp.JournalAppApplication - Starting JournalAppApplication using Java 17.0.7 with PID 19420 (C:\Users\ZMI4\Downloads\JournalApp\JournalApp\target\classes started by ZMI4 in C:\Users\ZMI4\Downloads\JournalApp\JournalApp) 
25-05-30 22:23:42.004 [main] INFO  n.p.JournalApp.JournalAppApplication - No active profile set, falling back to 1 default profile: "default" 
25-05-30 22:23:43.446 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-05-30 22:23:43.552 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92 ms. Found 3 MongoDB repository interfaces. 
25-05-30 22:23:45.003 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http) 
25-05-30 22:23:45.023 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-05-30 22:23:45.027 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-05-30 22:23:45.027 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39] 
25-05-30 22:23:45.171 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
25-05-30 22:23:45.171 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3044 ms 
